Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-03-10,44.14442802438537,44.17141117109954,43.415883063102726,44.09046173095703,5232000,0.0,0.0
1999-03-11,44.414256584920196,44.67059646192915,43.442863366781,44.30632400512695,9688600,0.0,0.0
1999-03-12,44.144428181737545,44.1714113285479,42.87622028165095,43.22700119018555,8743600,0.0,0.0
1999-03-15,43.55079662915573,44.522189862519795,43.09208315784492,44.468223571777344,6369000,0.0,0.0
1999-03-16,44.657095806980244,45.034859759426,44.17139929669285,44.845977783203125,4905800,0.0,0.0
1999-03-17,44.8459916825728,44.899957978219696,44.38727816957416,44.522193908691406,3965000,0.0,0.0
1999-03-18,44.46823116488462,45.41264141413885,44.454739589895276,45.385658264160156,4848400,0.0,0.0
1999-03-19,45.97929647653986,45.97929647653986,44.198408232730216,44.22539138793945,7160400,0.0,0.0
1999-03-22,44.414263564469714,44.522196161224194,43.60476908881109,43.68571853637695,5024800,0.0,0.0
1999-03-23,43.442861652252155,43.60476051555248,42.06672131419945,42.14767074584961,10962400,0.0,0.0
1999-03-24,42.52544268439798,43.60476864085478,41.8778471105239,43.57778549194336,8447000,0.0,0.0
1999-03-25,44.25236509407436,45.169792175292976,43.96229623751259,45.16979217529297,8133800,0.0,0.0
1999-03-26,44.79202606827741,45.30470588472155,44.495211437704484,44.6840934753418,8256200,0.0,0.0
1999-03-29,45.22375932884661,46.33006847710598,44.95392782927115,46.30308532714844,5113800,0.0,0.0
1999-03-30,46.24912535976356,46.626889510893484,45.79041174767722,45.97929382324219,4940600,0.0,0.0
1999-03-31,46.73482525696564,46.78879156788592,45.16980224027741,45.304718017578125,8256600,0.0,0.0
1999-04-01,46.62688674837734,46.68085305248425,45.49359436213205,46.249122619628906,8715800,0.0,0.0
1999-04-05,46.99790049673201,47.989531237799845,46.70783164050128,47.92207336425781,5697200,0.0,0.0
1999-04-06,47.86809129278189,48.54266980592707,47.46334418489479,48.01649856567383,7522400,0.0,0.0
1999-04-07,48.461732698664754,48.569665288194074,46.49196293975466,47.5173225402832,11923600,0.0,0.0
1999-04-08,47.43635956240372,48.124429624315724,46.46496653382208,47.89507293701172,7952400,0.0,0.0
1999-04-09,47.81412673557192,48.29982328254725,47.67921102807877,48.191890716552734,4946800,0.0,0.0
1999-04-12,47.05861236331428,48.19190463353171,47.0046460647325,47.868106842041016,10934000,0.0,0.0
1999-04-13,48.16492652893066,48.272859137398854,46.84275207519531,47.220516204833984,9962200,0.0,0.0
1999-04-14,47.81413069504958,47.86809698251577,45.33842725753784,45.60151290893555,21253800,0.0,0.0
1999-04-15,45.763412555754705,46.296329653618,44.1444239040181,46.22212600708008,17650600,0.0,0.0
1999-04-16,46.11420702403809,46.11420702403809,44.630133655798126,44.872982025146484,17274000,0.0,0.0
1999-04-19,45.16977966501133,45.54754365265181,42.316312401227016,42.768280029296875,19460600,0.0,0.0
1999-04-20,42.57940592403988,44.090462154550806,42.174658719438746,43.739681243896484,17413600,0.0,0.0
1999-04-21,44.144437230383204,45.92532528490967,43.55080787887439,45.89834213256836,10940400,0.0,0.0
1999-04-22,46.330062490636855,47.27447261712042,46.02650209283856,47.139556884765625,13630600,0.0,0.0
1999-04-23,46.89671677411613,48.11095857781879,46.41102005263507,47.76017761230469,7064400,0.0,0.0
1999-04-26,48.08396810289083,49.21726028040004,47.928815007160395,48.85973358154297,5421000,0.0,0.0
1999-04-27,49.217286799372545,49.46013525397471,47.497110245940526,48.11097717285156,16482800,0.0,0.0
1999-04-28,47.70620197646155,47.86810085194728,46.25585788356856,46.4649772644043,7676800,0.0,0.0
1999-04-29,46.249110478707166,46.518941928407905,45.11581838996405,46.08721160888672,19148200,0.0,0.0
1999-04-30,46.734806453578344,46.977654755011486,44.73805375290583,46.38402557373047,15295200,0.0,0.0
1999-05-03,46.24910688790662,46.43798888803226,45.36540895874738,46.14117431640625,11109800,0.0,0.0
1999-05-04,46.222141850653394,46.950686993658444,45.14281571286814,45.41264724731445,15428400,0.0,0.0
1999-05-05,45.439619062131115,46.78877639770508,44.06347857984567,46.78877639770508,12642600,0.0,0.0
1999-05-06,46.35706021156516,46.761807535880344,44.65712144944141,45.08885192871094,15173400,0.0,0.0
1999-05-07,45.49358281498462,45.87134684784926,44.5221895876184,45.73643112182617,16430400,0.0,0.0
1999-05-10,46.03325718585576,46.505462344561785,45.49359414733459,46.19515609741211,10604200,0.0,0.0
1999-05-11,46.57293640189366,47.166565950469355,46.3031047889047,46.9237174987793,8800800,0.0,0.0
1999-05-12,47.139545025892666,48.056971775108664,45.763404902068665,47.89507293701172,12507400,0.0,0.0
